id,text,label
116910,Ik heb woensdag voor de [REMOVED] keer een date met Floyd,1
116911,En als het echt te snel gaat kan je dat natuurlijk ook tegen hem zeggen,0
116912,Hmm goeie... Ik twijfel nog of ik in [REMOVED] zal blijven maar wil sowieso wel naar een rommelmarkt,0
116913,Maandag bij dat feest,0
116914,Lange dag ook vandaag,0
116915,Waar denken jullie dat ik wegwerptentonderzeil kan kopen?,0
116916,Hoi liefje! Ik ben nu wakker. Ik mis je! Jij ook succes vandaag!,0
116917,Wij kregen van zo'n blokken waar je je antwoord in moest zetten en je mocht er niet buiten komen xD,0
116918,"Hey, wil je nog gaan vanavond?",1
116919,"Hey [REMOVED] zou jij misschien morgen die stekker weer mee kunnen nemen, want mijn telefoon laat niet op met een andere stekker. Ik kan wel een andere stekker voor jou meenemen. Misschien dat die combinatie wel werkt.",1
116920,[REMOVED] viert inderdaad dan haar verjaardag,0
116921,Ja! Boodscgappn al voroge week genoeg gehaald,0
116922,"Mam, kun je straks als ik thuis kom een blouse voor me strijken?",1
116923,Heb je zin in zondag?,0
116924,"Check het morgenvroeg, dan ga ik naar nijmegen ",1
116925,Na afgelopen weekend,0
116926,Moet jij vrijdag niet gewoon werken?,1
116927, Je moet hem morgen activeren ,0
116928,Blijf maar even uit de buurt van de wc,0
116929,Had je die song gezien van charlotte waar ton ons in getagd had LOL,0
116930,Waar moet jij vandaag komen,0
116931,Oh de naam klinkt wel bekend trouwens.. Maar ik betwijfel of ik het ooit gezien heb,0
116932,Ben morgenmiddag wel thuis,1
116933,"Je moet ""wifi in de trein"" hebben en dan naar ""www.nstrein.ns.nl"" gaan en daar akkoord gaan met de voorwaarden",0
116934,Is goed dan fiets ik rond vier uur aan oke?,1
116935,En dan samen,0
116936, Wanneer is sunset ,0
116937,Jammer. Wanneer dan wel?,0
116938,En iedere dag zelfde programma,0
116939,Er komt er nu een aan en dan pas over kwartier,0
116940,Dan gaan we wel samen naar de mac sjatt,1
116941,Lekker vroeg,0
116942,En dinsdagaaf,0
116943,We moeten juist wel samen een conclusie schrijven..,1
116944,kan jij vandaag spelen?,0
116945,Morgen eet ik bij [REMOVED]..,1
116946,Ik had laatst krieltjes voor [REMOVED]+[REMOVED] gratis maar het tweede zakje ga ik niet meer eten. Houdbaar t/m morgen. Wie wil mag het opeten :),0
116947,Hey! Hoe gaat het met de wandelaars? Weet je al ongeveer hoe laat jullie er zullen zijn?,1
116948,"Oh, heb je ze alleen naar de SVN gestuurd haha?",0
116949,[REMOVED] vertrekt vanavond om half 8 vanuit [REMOVED] richting [REMOVED] en haalt ons dan bij mij op tussen kwart voor 8 en 8 uur,1
116950,Inductie kook plaat,0
116951, Jaa met jou als ik je weer zien ,0
116952, Heb een fles jagermeister mee waar [REMOVED] en ik stiekem van aan t drinken zijn ,0
116953, Blijf je lang vanavond? ,0
116954, Niks vertellen. Waarschijnlijk komt hij vanavond na de activiteit pas thuis ,0
116955,Vrijdag zaterdag maandag dinsdag carnaval,1
116956, Ben er over half uurtje. Ongeveer ,0
116957,.*    * .    . *    *.*          *          * * .    🌹       .*    * .          .*         * . *Stuur dit hartje naar alle mensen die je een warm hart toedraagt in [REMOVED]. Je gaat vanavond goed nieuws krijgen als je [REMOVED] hartjes terug krijgt! 😘❤❤❤,0
116958, Nog een uurtje en dan de trein in ,1
116959,"Als ik pfeiffer heb, hoor ik t morgen, anders moet ik dinsdag bellen voor de uitslagen",0
116960,Zullen we het dan deze week uitprinten?,0
116961,Of het essay moet zwaar tegenvallen,0
116962,Ik ben zo dom geweest om m'n fiets op [REMOVED] te zetten terwijl ik morgen vanaf [REMOVED] naar De [REMOVED] kom dus ik had hem bij [REMOVED] willen zetten...,1
116963,Ojaa ik stuur hem nu door,0
116964,Heyy maakt nie uit.. mooi dat ie is overgehuisd.. zeg jij maar wanneer je kunt/wilt want ik kan licht.. ,0
116965,Ben er waarschijnlijk iets later dan half vier,1
116966,Kunnen we niet 's middags eraan werken?,1
116967,Zeg gewoon waar ik over twijfel en dan moet het goed komen...,0
116968,"""dat loop IK al sinds vorige week te zeggen""",0
116969,"Het eerste woord wat in me opkomt als ik lees wat er op de site van Radio Markant staat is; gerechtigheid. Want wat Menke en [REMOVED] Groenewegen samen met hun dochter [REMOVED] en haar vriendin [REMOVED] ons, het team van de MC Donald’s in [REMOVED] en [REMOVED] heeft geflikt is op zijn minst misselijkmakend.",0
116970,Dus ik weet niet hoelaat ik dan thuis ben,1
116971,Hoe laat ga je weer weh?,0
116972,Moet ik met haar mee heen rijden of kan pap/mam me bij het busstation komen halen?,1
116973, Merken het van de week wel ,0
116974, Je mag wel blijven slapen vanavond ,1
116975,Mag ik dan een andere dag langskomen voor je verjaardag?,1
116976,Dus als ik zin heb dan doe ik dat morgen en dan stuur ik het je,0
116977,"Nee eum, als je daar rechts gaat (waar ik dus heen ging), heb je op een gegeven moment een parkeerplaatsje rechts",0
116978,Haha weet ik maar dit is mijn laatste poging om je toch nog mee te krijgen,0
116979,(doelend op koen natuurlijk :( ),0
116980,Ik heb echt zin in volgend jaar,0
116981,Was je weer ziek vandaag,0
116982,Haha en dan om acht uur 'snachts met je slappe zaadlul tegen het schaambeen van bejaarde lopen butsen terwijl je de volgende dag gwn naar school moet,0
116983,Ja tuurlijk man,0
116984, Klote avond ,0
116985,Is die opdracht vast voor volgende week ofzo,0
116986,Wanneer gaat ze nou fietsen?,0
116987,Hoe laat ben je hier,0
116988,Want donderdag is mitchel er ook:p,1
116989,Dat wou ik ook zien,0
116990, Hoe laat ben je morgen terug denk je? ,1
116991, Ben ingepland om morgen te werken ,0
116992,Haha ja ik weet nog dat ik dat zei maar wanneer... Sowieso meer dan [REMOVED] maand geleden,0
116993, Ga je ook naar ouderdag? 😁 ,1
116994,[REMOVED]! Wat zullen we afspreken voor zaterdag?,1
116995,Waar over,0
116996,"Ja goed, ik begin donderdagavond in de tempelier op 'proef' ",1
116997, Morgen misschien weer 😇 ,0
116998,"Misschien, als 'ie de volgendekeer wel goed warm wordt kan je er een handdoek omheen doet die nog lekker naar 'ik kom uit de was' ruikt om de geur te onderdrukken",0
116999,"Jij bent morgen, woensdag, toch te eerste vrij fnie?",0
117000, Ga jij nog iets doen? Of ben je saai vanavond? ,0
117001,Oja das waar.. Dat dr ouders gescheiden zijn was ik al helemaal vergeten,0
117002,Ik probeer muziek te vinden die past bij een scène voor m'n audities.... De bovenbuurman zingt erdoorheen.,0
117003,"Ik heb alleen bericht gehad van je appje vanochtend, gister middag bleef m'n telefoon stil",0
117004,maakt mij nie uit.. uurtje of [REMOVED]/een uur?,1
117005,Haha is goed hoor ik kom vnmiddag wel een keer,1
117006,Van het station,0
117007,En dacht ook aan heg boekenweekgeschenk en het verdwijnen van se komma,0
117008,Hoe laat stop jij met werken? Dan ga ik gewoon daarna pas in het excelbestand zetten wat ik gedaan heb,0
117009,Heb je lange dag vandaag trouwens? Of alweer thuis ofzo?,0
117010,Wat een lange dag zeg,0
117011, Vet zuur ,0
117012,Het is ook nog geen pasen. Ga je vanavond naar abba?,1
117013,Kunnen jullie vanavond misschien de statafel meenemen?,1
117014,Waar hoorde [REMOVED] dan bij centralen of geallieerden,0
117015,"Je ziet het niet heel goed, maar mijn aankopen van vandaag;)",0
117016,Laat morgen wel zien,0
117017, Kom jij nog naar de openingsmarkt? ,1
117018,ga nu sandbagnests plaatsen,0
117019, Laat je straks wel weten wat ik doe ,0
117020,Hee  ik heb het gevraagd en we zouden graag soep bij jullie komen eten:) is zondag goed? Knuffels,1
117021,Hoe ga jij naar saar er gaan toch geen bussen vanaf het station?,0
117022, Jaa tuurlijk wil ik dat ,0
117023,Aan de ene kant vind ik het heel lullig voor de organisaties die komen morgen maaar aan de andere kant vind ik de demonstratie ook belangrijk,1
117024,Heb je inmiddels al een outfit voor morgen?,0
117025,elf uur half zeven,0
117026, Vind mn structuur niet zo sterk 😂 ,0
117027,Ik lig al een uur wakker,0
117028,Den..😞 Ik kan niet mee vanavond.. Heb me net ziekgemeld.. I'm sorry.. Veel plezier vanavond!! Denk aan je!!😘 Xx,1
117029,Ik ben nog ff wat ophalen wat ik vergeten was bij de mac en dan kom ik naar het strand,1
117030,"Dingen ophangen doe ik half elf of later, hangt er vanaf... Mensen zouden me helpen maar nu laat niemand iets van zich horen dus geen idee. Als ik t in mn eentje ga doen, kom ik pas later",1
117031," Sorry gister verjaardag van nolan, beetje droeloe ",1
117032,Woensdag en donderdag vrij maar woensdag wel gesprek over whatsapp onderzoek,0
117033,"Neen. Toen jullie gingen , zijn sam en kevin ook gegaan. En een half uurtje daarna ben k ook gegaan.",0
117034,Kwart over [REMOVED] hè,0
117035,Ben dinsdagavond bij m'n ouders... En dan donderdagavond pas weer terug,1
117036,Maar om [REMOVED] is het fucking druk en kan nu samen met bart,1
117037,[REMOVED] jullie zijn echt cute samen,0
117038,"Batt is bijna leeg maar ben drie uur in nijm, kom wel langs je huis lopen goee",1
117039,Waar hebben jullie dan gegeten?,0
117040,Maar ik moet t toch printen voor vrijdag,0
117041,Nee nee ik moet het -eigenlijk- nog inkorten en nalezen en het nog heel interessant maken aangezien het nergens op slaat wat ik heb geschreven,0
117042,Parjeerplaats bijna,0
117043,Super kut we gaan nu fucking laat,1
117044,Maar moest even mee.. Vanavond weer in nimma,1
117045,Zag ik jou nou zondag met jochem appen?,0
117046,Ja.. Lekker samen slapen vanavond 😁,0
117047,Jaa maar waarop,0
117048, Heb een bericht gestuurd naar het bestuur van carolus ;) hopen dat ze het doen ,0
117049,Welke dag is dat,0
117050, Afgezien van je familie haha ,0
117051, Ik ga morgen wel naar statistiek 😩 ,0
117052,Haha een toon laten  zien nog wel?,0
117053,Deze week,0
117054,Kwart voor [REMOVED],0
117055,Wat ik nog wou vragen: wat doe je morgenavond?,1
117056,Drm stuurde ze bij ons zonder wenkbrauwen denk ik hahaha,0
117057,Zon formulier invullen wat ze ons toen had toegestuurd,0
117058, Ja was vanochtend niet helemaal helder ,0
117059,Dat slaat eigenlijk ook nergens op haha,0
117060,"Het is volgens mij echt een leuke kerel, mooi als hij erbij komt! Het is niet alleen aan het bestuur om daarvoor te zorgen, vind dat de jeugd hierin ook een kleine taak heeft",0
117061,Zullen we dan samen eten woensdag? Met z'n [REMOVED] en?,1
117062, Hoelaat ga je naar huis? ,1
117063,"Ben thuis aan de studie, zie je tijdens college 😉",1
117064,Vandaag mondelingen Nederlands. Morgen Vermeer. Nu dom genoeg nog wel op en meer naar [REMOVED] voor college.,1
117065,"Maar als hij net droog is, laat hem dan nog maar binnen hoor",0
117066,WAAROM REAGEERT JE NIET? IK ZIET TOCH BLAUWE VINKJES?!,0
117067,We moeten maar even zien haha,0
117068,Maar het duurt sowieso maar even en het heeft ook niet echt haast,0
117069,LAAT MAar,0
117070,Dus miss kunnen we samenfietsen,1
117071,"Ik ga ju naar de uni, als je zin hebt in koffie kwartiertje voor les let me know!",1
117072,Maar ja.. [REMOVED] avond genoten en de rest...,0
117073,Je muur...,0
117074, Hoe laat anytime? ,1
117075,En nu twijfel ik natuurlijk weer,0
117076,Maar daarnaast lijkt t me wel beperkend voor jo,0
117077,Lekker dagje weggeweest met pa?,0
117078,Hoef dit weekend maar van [REMOVED] tot [REMOVED] te werken,1
117079,Hoelaat?,0
117080, Die laatste is heel vaag ,0
117081, Gegarandeerd lachen echt waar ,0
117082,Nee sorry net morgen moey ik wel eerste uur naar school,0
117083,Heb echt geen zin vandaag Mja geld verdienen h,0
117084,Waarheen?,0
117085,Schoenen kopen gaat niet door... Wat is het plan rond [REMOVED]? Is het ver reizen? Is het duur? Hoe laat zouden we terug zijn? Dan wil ik misschien toch wel mee,0
117086,Waar?,0
117087,Of ik de auto mee kan nemen vanavond 😘,0
117088,Dan ben je in de buurt 😜,0
117089,Is wel savonds ofc;),0
117090,Maar hij zei dat je kan komen wanneer je wilt en het duurt tot zes uur,0
117091,Stuur die blz eens,0
117092,Kunnen jullie me vanavond ophalen bij maud,1
117093,Maar het is bijna het einde van de avond,0
117094,Is goed! Onder de klok in het [REMOVED]? Dan kunnen we even vragen of het bestuurshok vrij is en anders zoeken we gewoon beneden ergens een plekje,1
117095,Ik ben helemaal vergeten je beschermers mee naar den helder te nemen 😱! Had je er haast mee? Want anders neem ik ze volgende week gewoon mee,0
117096, Moet morgen [numerical_value] uur op de soos zijn ,1
117097,"Tante maria belde me net trouwens, ome theo heeft nog geen idee hoelaat hij precies in cuijk is, maar ik moest m vrijdag maar bellen en zeggen waar ik precies stond wqnt anders kleine kans dat ik m zag",1
117098,En twee weken geleden had ze [REMOVED] zo weinig zuurstof als papa,0
117099,Ik eet bij m'n ouders en zou daarna met Kas boodschappen doen voor familieweekend maar die doet hij nu in z'n eentje,1
117100,Maar ze zei dat ze het vandaag af zou hebben,0
117101,Ja elke maand [REMOVED] he.,0
117102,Mijn ouders en broertje komen graag zondag op de thee. Zelf ben ik er vanavond of morgenochtend weer (etentje in [REMOVED] [REMOVED] dus misschien slaap ik bij [REMOVED]),1
117103,Heb je de auto nog nodig het weekend????,1
117104,Jij slaapt er vanavond?,1
117105, Waar ben je eten? ,0
117106,Weet ik niet precies. zes uur - half tien?,0
117107,"Als het leren een beetje oke gaat kom ik s avonds wel,",1
117108,Kijken veel vrouwen daarnaar?,0
117109,Eerder is wel leuk maar zeg maar wat jij wil,0
