id,dutch_text,label,text
116791,"Ik had vandaag dus die afspraak bij het medewerkersplein. Dus nu heb ik een pasje en een acount enzo, maar nu kan ik nog niet in epic, dus ik kan nog steeds niet met het onderzoek beginnen 😕",0,"So I had that meeting today at the employee's square, so now I have a pass and an account and stuff, but now I can't get into epic, so I still can't start the investigation."
116792,Wanneer krijg je nou je nieuwe telefoon,0,When are you gonna get your new phone?
116793, Morgen niet??? ,0,Not tomorrow??
116794, Hoelaat ben je thuis? ,0,What time are you home?
116795, Heb je wel een babyphone staan bij je kwartel 😳? ,0,Do you even have a baby phone on your quail?
116796,Laat maar :p,0,Forget it:p
116797,V neemt morgen trouwens dr vriendje mee naar [REMOVED] Potter,1,"By the way, V is taking her boyfriend to [REMOVED] Potter tomorrow."
116798,Oke dan denken we aan elkaar morgen haha,0,Okay then we'll think of each other tomorrow haha
116799,"Hee [REMOVED], [REMOVED] en ik hebben voor jou een folder van taalwetenschap (met alle mogelijke minoren daarin) en een folder van journalistiek. [REMOVED] neemt ze maandag voor je mee!",1,"Hey [REMOVED], [REMOVED] and I have a brochure of linguistics for you (with all possible minors in it) and a leaflet of journalism. [REMOVED] will bring them for you on Monday!"
116800, Uhhm laat ik zo ff weten. Weet het niet precies ,0,Uhhm I'll let you know. Don't know exactly.
116801, Vond je het vervelend over wat ik gisteren vroeg? ,0,Did it bother you about what I asked you yesterday?
116802,Zullen we dan in [REMOVED] afspreken?,1,Shall we meet in [REMOVED] then?
116803,Hee [REMOVED]! Is om kwart voor negen vnv weer hè,1,Hey [REMOVED]! Is at quarter to nine vnv again eh
116804,'Laatste lesdag [REMOVED] [REMOVED]' bekijken op [REMOVED] - [website],0,See 'Last Lesson Day [REMOVED] [REMOVED]' on [REMOVED] - [website]
116805,"O nee dat staat bij het tweede uur, [REMOVED]...",0,"Oh, no, that's the second hour, [REMOVED]..."
116806,Ik neem die artikelen maandag wel mee,0,I'll take those articles with me Monday.
116807, #dronkenopzaterdag #arbeider ,0,# Drinking on Saturday #Worker
116808,Is altijd aanpoten maar we weten waar we het voor doen!,0,"It's always a bitch, but we know what we're doing it for!"
116809,Maar omdat hij zei dat het zon grote opdracht was en we daarom volgende week geen college hebben vod ik het gel,0,But because he said the sun was big assignment and that's why we don't have a college next week I'm gonna rag the gel
116810,Waar ben jij?,0,Where are you?
116811,Het is ju [REMOVED] ([REMOVED] bij jullie) en dit bericht wordt gewoon verstuurd als ik wifi heb :),0,It's ju [REMOVED] ([REMOVED] with you) and this message is just sent when I have Wi-Fi:)
116812, Stuurt marius ,0,Sends Marius
116813,Hoelaat zijn jullie opgestapt?,0,What time did you guys leave?
116814,Dat eet ik wel donderdag dan want had nog niks gekocht,0,I'll eat that Thursday because I hadn't bought anything.
116815,woensdag [REMOVED] voorhuys?,1,Wednesday [REMOVED] forhuys?
116816,Waarvoor is dat?,0,What's that for?
116817,"Ben niet gaan zwemmen trouwens, was veel te moe.. Maar toen was het te laat om je nog te bellen",0,"I didn't go swimming, by the way, was too tired... but then it was too late to call you."
116818,Ja kwart voor een,0,"Yeah, quarter to one."
116819,Hou jij dat vol op je krukken? Of zal ik beter morgen kijken als ik je heb weggebracht?,1,"Do you think you can hold on to your crutches, or should I look better tomorrow after I've taken you away?"
116820,"Nee maar even serieus, hoe laat komen jullie nu?",1,"No, seriously, what time are you coming over?"
116821, Hoe laat maak jij t? ,0,What time do you make it?
116822,Prima! Heb je voldoende kunnen doen vandaag?,0,Have you been able to do enough today?
116823,Maar je hebt op vrijdagen niks daar?,0,But you don't have anything there on Fridays?
116824,"Maar niet zeggen dat dat plekje speciaal voor hem is, dan gaat 'ie waarschijnlijk overal behalve daar liggen",0,"But don't tell him that place is special to him, and he'll probably be lying anywhere but there."
116825,Hoe laat ben jij er?,1,What time will you be here?
116826,Waar en hoe laat? :p,0,Where and what time?
116827,We moeten snel ff sushi gaan eten samen!!!,1,We should have sushi together soon!!!
116828,Hoe laat is iets later?,0,What time's a little late?
116829,Waar ben je dan,0,Where are you?
116830, Iets eerder al ,1,A little earlier.
116831,Jij hebt morgen toch [REMOVED] engels,0,You'll have [REMOVED] English tomorrow.
116832,Ja neem de trein van kwart over,1,"Yeah, take the quarter train."
116833,Gister de hele dag zeiken,0,Yesterday all day pissing
116834, Kut kabouter avond ,0,Fucking leprechaun night.
116835,Ligt er aan hoe laat we bij shabu shabu terecht kunnen,1,Depends on what time we can get to shabu shabu
116836,En ik denk dat ik wel ga vanavond ben dr alleen rond half twee ,1,And I think I'll be going tonight. Dr. alone around 1:30.
116837, [REMOVED] heeft gisteren waarschijnlijk iets in haar drankje gehad ,0,[REMOVED] Probably had something in her drink yesterday.
116838,Tot hoelaat zijn jullie er? Zijn jullie er nog?,1,What time are you guys gonna be here?
116839,"[REMOVED] heeft de nacht goed doorstaan en zijn ogen gingen op commando open en dicht (maar daarna eerst niet meer terug open). Hij heeft ons wel echt aangekeken daarnet en voor ons gevoel herkende hij ons ook echt. Het lijkt alsof hij wil reageren op al die prikkels maar de inspanning kost hem veel moeite en met die buis kan hij natuurlijk ook nog niet praten. We laten hem nu weer even rusten, maar gaan zo nog naar hem toe. Vandaag krijgt hij voldoende bezoek, een collega van hem komt vanavond ook. Wij zijn echt dolgelukkig maar vinden het nog moeilijk wat we tegen hem moeten zeggen, want het is voor zo'n verder gezonde man natuurlijk erg moeilijk om gezond naar bed te gaan en hier zo wakker te worden.",0,"[REMOVED] went through the night well and his eyes were open and closed on command (but then not open again). He really looked at us just now and for our feeling he recognized us. It seems as if he wants to respond to all those stimuli but the effort takes him a lot of effort and of course he can't talk with that tube either. We let him rest now, but so go to him. Today he gets enough visitation, a colleague of his also comes tonight. We are really happy but find it hard to say to him, because it is of course very difficult for such a otherwise healthy man to go to bed and wake up here."
116840,"Hoi jonathan. Ik heb een andere afspraak van kwart over drie tot kwart over drie en dan kan ik gelijk naar jou toe komen. Dus dan ben ik er ergens tussen half drie en kwart voor drie, ok?",1,"I have another 3:45 a.m. to 3:45 a.m. and then I can come straight to you, so I'll be there somewhere between 2:30 a.m. and 3:45 a.m., okay?"
116841,Hoe laat ben je uit vandaag?,0,What time are you out today?
116842,Doe ik morgenvroeg pas,0,I don't do till tomorrow morning.
116843,Vanavond....,0,Tonight...
116844,Ja is goed;) het handigste is een keer op een vrijdag,1,Yes is good;) the most convenient is once on a Friday
116845, Heb jij toevallig al m'n sleutels meegenomen? Kon m'n sleutels vanochtend niet vinden ,0,Did you happen to bring all my keys?
116846,Kan ik fleur morgen naar het werk brengen om zes uur?,1,Can I get fleur to work tomorrow at 6:00?
116847,Waarom ben je niet hier? ,0,Why aren't you here?
116848,Nou ja heb deze twee weken tentamen dus volgende week ook nog druk en moet onderzoeksvoorstel voor bachelorwerkstuk inleveren dus das Superrr spannend Mja ... We'll see,0,"Well, I have this two weeks exam so next week also busy and has to submit research proposal for Bachelor's piece so that's Superrr exciting Mja... We'll see"
116849,Ja had ik ook al gezien,0,"Yeah, I'd seen that, too."
116850,Morgen pas echt colleges,0,Tomorrow's really gonna be classes.
116851,Zie jullie donderdag,1,See you Thursday.
116852,Heb je il capitale humano trouwens al gezien?,0,"By the way, have you seen il capitale humano?"
116853, Wat doe jij vanavond ,0,What are you doing tonight?
116854,*week,0,===============================================================================================================================*==============================================================================================================================================================================================================================================================================================================================================================================================
116855,Moet ik wel even kijken hoelaat die rijdt,0,I'm gonna have to see what time it's driving.
116856,"Hey [REMOVED], is er een beetje parkeerplek in de buurt van jouw huis? Ik kom misschien met de auto",0,"Hey [REMOVED], is there a little parking space near your house? I might come by car"
116857, Tuurlijk lief. ,0,"Sure, sweet."
116858,Wat doe jij vandaag?,0,What are you doing today?
116859, Ben heel druk vandaag ,0,I'm really busy today.
116860," Wil wel, maar moet doorstuderen en daarna [REMOVED] naar huis brengen ",0,"Wants to, but needs to study and then bring [REMOVED] home"
116861,Nee hopelijk ben ik eerder haha,0,No. Hopefully I'll be more like haha.
116862,"Nooo, ze liggen hier niet meer, wat erg!als ik ze nog vindt laat ik het weten, maAR IK VREES het ergste",0,"Noooh, they're not here anymore, I'm sorry!If I still find them, I'll let you know, but I'll have the worst of them."
116863,Laat je weten of die saus lekker os?,0,You gonna let me know if that sauce is good ox?
116864,Waar is die kuttelefoon van je?,0,Where's that fucking phone of yours?
116865,"Hee [REMOVED],Hebben jij en [REMOVED] zin om morgenavond spelletjes te spelen met mij, [REMOVED], [REMOVED] en [REMOVED]? :)Xx",1,"Hey [removed], do you and [removed] feel like playing games with me tomorrow night, [removed], [removed] and [removed]?"
116866,Gisteravond,0,Last night.
116867,Nee ik ga na de tijd avondeten,0,"No, I'm gonna have dinner after time."
116868,Nee ik stuur ze,0,"No, I'll send them."
116869,"Hee , kan ik morgen bij jou mee-eten?",1,"Hey, can I join you for dinner tomorrow?"
116870,Nou datumplanner is verstuurd hah,1,Well date planner has been sent hah
116871, Straks ,0,Later.
116872,.*    * .    . *    *.*          *          * * .    🌹       .*    * .          .*         * . *Stuur dit hartje naar alle mensen die je een warm hart toedraagt in [REMOVED]. Je gaat vanavond goed nieuws krijgen als je [REMOVED] hartjes terug krijgt! 😘❤❤❤,0,* * * * * * * * *... * * *.. * * * * * * Send this heart to all the people you love in [REMOVED]. You're going to get good news tonight when you get [REMOVED] hearts back!
116873,Zou morgenaaf kunnen,1,Could be tomorrow.
116874,"Week van [REMOVED] oktober dus. Nou maandag kan ik de hele dag. Op dinsdag niet (van kwart voor tien tot half vier college), op woensdag heb ik van kwart voor een tot half zes: kan dus van half elf tot kwart over twaalf. Op donderdag vanaf elf uur (maar dan werk ik dus 's middags bij het ssgn normaal gesproken) en op vrijdag kan ik tot kwart over twee.",1,"Week of [REMOVED] October so. Well Monday I can spend all day. On Tuesdays (from quarter to ten to half past four lectures), on Wednesdays I have from quarter to half past six: can therefore from half past eleven to a quarter past twelve. On Thursdays from eleven o'clock (but then I normally work at the ssgn in the afternoon) and on Fridays I can until a quarter after two."
116875,En wanneer ga jij nou op vakantie [REMOVED]?,0,And when are you going on holiday [REMOVED]?
116876,"Ik dacht eerder aan een uur of [REMOVED], [REMOVED]",1,"I was thinking earlier about an hour or [REMOVED], [REMOVED]"
116877,"Haha ja doe maar :) we kunnen ook gewoon een uurtje ergens wat gaan drinken, maakt me niet uit ;)",1,"Haha yes do:) we can also go for a drink somewhere for an hour, I don't care;)"
116878,Nee achja we zien t wel,0,"No, we'll see."
116879,Kun je me vertellen wat ik moet doen straks voor KKW?,0,Can you tell me what to do for KKW later?
116880,hoe laat ben je. Hier,0,What time are you?
116881,"[REMOVED], [REMOVED], [REMOVED] en vijf uur",0,"[REMOVED], [REMOVED], [REMOVED] and five hours"
116882,Reageer ff op m'n laatste swhatt's app;),0,Reply ff to my last swhatt's app;)
116883,Hoe laat spreken we af en waar? Van tevoren nog even bij iemand zitten? (ik heb nog van dat blue curaçao spul dat op mag),1,What time do we meet and where? Have a seat with someone in advance? (I still have that blue curacao stuff on)
116884,En je laat die [REMOVED] vrienden nu niet in de steek als je met ons komt wonen?,0,And you're not gonna abandon those [REMOVED] friends if you come to live with us?
116885,Ik moet uitkijken dat ik niet ga foeteren tijdens de vergadering,0,I have to be careful not to fetch during the meeting.
116886,En de maandag de [REMOVED] 's avonds? (overdag ben ik bij de Dela trophy in Den Bosch),1,And on Monday the [REMOVED] evening? (During the day I'm at the Dela Trophy in Den Bosch)
116887, Donderdag gaan we heel lang geile seks hebben 😘 ,1,Thursday we're gonna have sex horny for a long time
116888,Was donderdag dat jij en marjolein en ik rik willem.en gemma en moow naar ah gingen en toen zat ik zo bij gemma en zij helemaal zo van ik vraag me echt af wat dat vriendje van marjolein zou denken want ze is de hele tijd met mark enzo hahahah,1,Was Thursday that you and marjoram and I rik wilm.and gemma and moow went to ah and then I sat so by Gemma and she all so I wonder what that marjoram boyfriend would think because she's been with mark and so hahahah
116889,Vandaag naar het staatskindertehuis geweest...Vind-document in mogen zien...Niet heel cool als je adoptieverhaal iets anders is als je altijd hebt gedacht ,0,Been to the state school home today...Find-document in...Not very cool if your adoption story is something else if you've always thought...
116890,"Heb een leuke tekst voor jou... Lees maar Eens zien of dit werkt. Lieve god het meisje dat dit leest is mooi, klassevol, sterk, prachtig karakter, betrouwbaar en lief.Help haar leven tot het einde en bescherm haar wanneer ze het meest nodig heeft en laat haar weten dat als ze met jou loopt dat ze altijd veilig zal zijn.Nu begint de tijd te tikken.Over negen minuten zal jou iets opvrolijken maar jij moet tegen negen dames hetzelfde zeggen met mij inclusief xxxx gewoon doen het kan zeker geen kwaad!!! xxx je bent mooi!en super lief sgatjee xx morgen zullen twee jongens zeggen; mag ik je nummer? of heb je een vriendje? verzend dit bericht naar [REMOVED] meisjes of ongeluk start voor een heel jaar. dit is niet nep. waarschijnlijk als je dit bericht kopie�rt en dit verstuurt zal je morgen de beste dag van je leven hebben. je zal ook gekust worden of uitgevraagd worden, als je deze ketting verbreekt zal je een dood meisje vanavond in je kamer zien. in [REMOVED] minuten zal iemand zeggen dat die van je houdt, het spijt me of ik wil met je uitgaan, je tijd begint nu..?❤❤",0,"Do you have a nice text for you... Read it See if this works. Dear God the girl who reads this is beautiful, classy, strong, beautiful character, reliable and sweet.Help her life until the end and protect her when she needs it most and let her know that if she walks with you she will always be safe.Now the time starts ticking.In nine minutes something will cheer you up but you must say the same to nine ladies with me including xxxx just do it can certainly not hurt!!!! xxx you are beautiful!and super sweet sgatje xx tomorrow will say two boys; can I have your number? or do you have a boyfriend? send this message to [REMOVED] girls or unlucky start for a whole year.This is not fake. this posture."
116891,Dus eerst [REMOVED] B dan tussenuur endab [REMOVED]?,0,So first [REMOVED] B then interval endab [REMOVED]?
116892,"Ik heb morgenavond vrij, ga ik eens zoeken",0,"I've got tomorrow night off, I'm gonna go look for it."
116893,"Hahahaha, wat willen we sowieso niet zien? Mss gaat dat makkelijker.. ;p",0,"Hahahaha, what do we not want to see anyway?"
116894,"Maar ik moet mijn lichaam helaas naar een andere bestemming begeven, daarom groet ik u gedag",0,"But I'm afraid I have to move my body to another destination, which is why I salute you."
116895,Is echt duur,0,Is really expensive
116896,"Ja, maar komt volgende week woensdag uit bij jou zegmaar? ",0,"Yeah, but does next Wednesday come out to you, so to speak?"
116897,Wat krijg je voor je verjaardag?,0,What do you get for your birthday?
116898,Zeg maar hoelaat je wil,0,Tell me what time you want.
116899,"Maakt me niet echt uit; ik zet Marloutje af op n feestje maar die maakt t ook niet uit hoe laat en anders kon ze bij een vriendin terecht, dus zegt u het maar mevrouw ",1,"I don't really care; I'm dropping Marlout off at a party but it doesn't matter what time and otherwise she could go to a girlfriend's house, so you just say it to me, Mrs. O'Brien."
116900,"[REMOVED] heeft me gisteravond nog gemaild, hij gaat naar een conferentie dus kan voorlopig niet helpen alleen via email",0,"[REMOVED] e-mailed me last night, he's going to a conference so can't help just by e-mail for now"
116901,Zou ook niet weten waar ik vleugeltjes vandaan zou moeten halen,0,"Wouldn't know where to get wings, either."
116902,"Ja ik kan je wel halen van het station, doen we meteen even boodschappen bij de [REMOVED]",1,"Yeah, I can get you from the station, we'll run errands at the [REMOVED] right away."
116903,"Hi honey!!! Ik heb je foute pakkie al gezien..:P haha!! Hoer alles goed! Fijn dat het zo leuk is daar!! En Uuhmm.. Stuur jij ""likje"" naar [REMOVED] op [REMOVED]?! Hahaha!!!! Veel plezier nog en tot snel!! Dikke kus..!💗",0,"Hi honey!!! I've already seen your wrong suit..:P haha!! Whore all right! Glad it's so fun there!! And Uuhmm.. You send ""lick"" to [REMOVED] on [REMOVED]?! Hahaha!!!! Have fun and see you soon!! Big kiss..!"
116904, Heb geen pc vandaag ,0,Don't have a PC today
116905,Oke :) bedankt alvast haha! Oke! Zal ik dan water vandaag opzeggen als dat lukt?,0,Okay:) thank you already haha! Okay! Shall I cancel water today if I succeed?
116906,Structuur staat erop,0,It's got structure on it.
116907,Ik ga vanavond eten in [REMOVED] denk ik en morgenmiddag samen met willemijn een middagje [REMOVED] in.,1,I'm going to dinner tonight in [REMOVED] and tomorrow afternoon together with Willemijn into an afternoon [REMOVED].
116908,En tot strakski wah!,1,And I'll see you later!
116909, Over een uurtje ongeveer ,0,About an hour from now.
116910,Ik heb woensdag voor de [REMOVED] keer een date met Floyd,1,I've got a date with Floyd Wednesday for the [REMOVED] time.
116911,En als het echt te snel gaat kan je dat natuurlijk ook tegen hem zeggen,0,"And if it's really going too fast, you can say that to him, of course."
116912,Hmm goeie... Ik twijfel nog of ik in [REMOVED] zal blijven maar wil sowieso wel naar een rommelmarkt,0,Hmm good... I still doubt if I will stay in [REMOVED] but want to go to a flea market anyway
116913,Maandag bij dat feest,0,Monday at that party
116914,Lange dag ook vandaag,0,Long day too today
116915,Waar denken jullie dat ik wegwerptentonderzeil kan kopen?,0,Where do you think I can buy disposable tarp?
116916,Hoi liefje! Ik ben nu wakker. Ik mis je! Jij ook succes vandaag!,0,"Hey, sweetie, I'm awake now, I miss you!"
116917,Wij kregen van zo'n blokken waar je je antwoord in moest zetten en je mocht er niet buiten komen xD,0,We got one of those blocks where you had to put your answer in and you weren't allowed to come out xD
116918,"Hey, wil je nog gaan vanavond?",1,"Hey, you want to go tonight?"
116919,"Hey [REMOVED] zou jij misschien morgen die stekker weer mee kunnen nemen, want mijn telefoon laat niet op met een andere stekker. Ik kan wel een andere stekker voor jou meenemen. Misschien dat die combinatie wel werkt.",1,"Hey [REMOVED] maybe you could bring that plug back tomorrow, because my phone doesn't leave up with another plug. I can bring another plug for you. Maybe that combination will work."
116920,[REMOVED] viert inderdaad dan haar verjaardag,0,[REMOVED] indeed celebrates her birthday
116921,Ja! Boodscgappn al voroge week genoeg gehaald,0,Yes! Boodscgappn already made it before week enough
116922,"Mam, kun je straks als ik thuis kom een blouse voor me strijken?",1,"Mom, can you iron me a blouse when I get home?"
116923,Heb je zin in zondag?,0,Would you like a Sunday?
116924,"Check het morgenvroeg, dan ga ik naar nijmegen ",1,"Check it in the morning, and I'll go to Nijmegen."
116925,Na afgelopen weekend,0,After last weekend
116926,Moet jij vrijdag niet gewoon werken?,1,Aren't you supposed to be working on Friday?
116927, Je moet hem morgen activeren ,0,You're gonna have to activate it tomorrow.
116928,Blijf maar even uit de buurt van de wc,0,Stay away from the bathroom.
116929,Had je die song gezien van charlotte waar ton ons in getagd had LOL,0,Would you have seen that song of charlotte that ton had tagged us in LOL?
116930,Waar moet jij vandaag komen,0,Where are you going today?
116931,Oh de naam klinkt wel bekend trouwens.. Maar ik betwijfel of ik het ooit gezien heb,0,"Oh, the name sounds familiar, by the way, but I doubt I've ever seen it."
116932,Ben morgenmiddag wel thuis,1,I'll be home tomorrow afternoon.
116933,"Je moet ""wifi in de trein"" hebben en dan naar ""www.nstrein.ns.nl"" gaan en daar akkoord gaan met de voorwaarden",0,"You must have ""wifi on the train"" and then go to ""www.nstrein.ns.nl"" and agree to the terms and conditions"
116934,Is goed dan fiets ik rond zeven uur aan oke?,1,"All right, I'll bike around seven o'clock, okay?"
116935,En dan samen,0,And then together
116936, Wanneer is sunset ,0,When is sunset
116937,Jammer. Wanneer dan wel?,0,Too bad.
116938,En iedere dag zelfde programma,0,And the same program every day
116939,Er komt er nu een aan en dan pas over kwartier,0,"There's one coming now, and it's not till 15 minutes."
116940,Dan gaan we wel samen naar de mac sjatt,1,Then we'll go to the mac shatt together.
116941,Lekker vroeg,0,Nice and early.
116942,En dinsdagaaf,0,And Tuesday
116943,We moeten juist wel samen een conclusie schrijven..,1,"On the contrary, we have to write a conclusion together."
116944,kan jij vandaag spelen?,0,Can you play today?
116945,Morgen eet ik bij [REMOVED]..,1,Tomorrow I'll eat at [REMOVED]...
116946,Ik had laatst krieltjes voor [REMOVED]+[REMOVED] gratis maar het tweede zakje ga ik niet meer eten. Houdbaar t/m morgen. Wie wil mag het opeten :),0,Last time I had the creeps for [REMOVED]+[REMOVED] free but the second bag I'm not going to eat anymore. Keepable till tomorrow. Who wants to eat it:)
116947,Hey! Hoe gaat het met de wandelaars? Weet je al ongeveer hoe laat jullie er zullen zijn?,1,Hey! How are the walkers? Do you know about what time you'll be there?
116948,"Oh, heb je ze alleen naar de SVN gestuurd haha?",0,"Oh, did you just send them to the SVN haha?"
116949,[REMOVED] vertrekt vanavond om half 8 vanuit [REMOVED] richting [REMOVED] en haalt ons dan bij mij op tussen kwart voor 8 en 8 uur,1,[REMOVED] leaves [REMOVED] tonight at 8.30 p.m. from [REMOVED] towards [REMOVED] and picks us up at my place between 8:45 a.m. and 8:00 a.m.
116950,Inductie kook plaat,0,Induction cooking plate
116951, Jaa met jou als ik je weer zien ,0,Yes with you when I see you again
116952, Heb een fles jagermeister mee waar [REMOVED] en ik stiekem van aan t drinken zijn ,0,Got a bottle of hunter meister that [REMOVED] and I'm sneaking from drinking.
